talk_id,title,speaker,recorded_date,published_date,event,duration,views,likes
1,Averting the climate crisis,Al Gore,2006-02-25,2006-06-27,TED2006,957,3681537,110000
7,Simplicity sells,David Pogue,2006-02-24,2006-06-27,TED2006,1266,2012797,60000
53,Greening the ghetto,Majora Carter,2006-02-26,2006-06-27,TED2006,1096,3006315,90000
92,The best stats you've ever seen,Hans Rosling,2006-02-22,2006-06-27,TED2006,1176,15432904,462000
66,Do schools kill creativity?,Sir Ken Robinson,2006-02-25,2006-06-27,TED2006,1151,73935964,2200000
86,Letting go of God,Julia Sweeney,2006-02-24,2006-07-10,TED2006,978,4836214,145000
49,Behind the design of Seattle's library,Joshua Prince-Ramus,2006-02-23,2006-07-10,TED2006,1184,1261975,37000
71,A life of purpose,Rick Warren,2006-02-25,2006-07-18,TED2006,1248,4300620,129000
94,Let's teach religion -- all religion -- in schools,Dan Dennett,2006-02-02,2006-07-18,TED2006,1471,4227594,126000
54,My wish: A call for open-source architecture,Cameron Sinclair,2006-02-26,2006-07-25,TED2006,1394,1372030,41000
55,My wish: A global day of film,Jehane Noujaim,2006-02-26,2006-07-25,TED2006,1524,491578,14000
58,My wish: Help me stop pandemics,Larry Brilliant,2006-02-23,2006-07-25,TED2006,1536,1425026,42000
41,One Laptop per Child,Nicholas Negroponte,2006-02-23,2006-08-01,TED2006,1043,496750,14000
65,The radical promise of the multi-touch interface,Jeff Han,2006-02-06,2006-08-01,TED2006,514,4849005,145000
46,"Improvising on piano, aged 14",Jennifer Lin,2004-02-26,2006-08-08,TED2004,1431,1874170,56000
45,An 11-year-old's magical violin,Sirena Huang,2006-02-23,2006-08-08,TED2006,1467,3384299,101000
27,"Organic design, inspired by nature",Ross Lovegrove,2005-02-25,2006-08-15,TED2005,1156,1332394,39000
2,Simple designs to save a life,Amy Smith,2006-02-24,2006-08-15,TED2006,886,1829187,54000
37,The birth of Wikipedia,Jimmy Wales,2005-07-14,2006-08-21,TEDGlobal 2005,1188,1465797,43000
25,The birth of the open-source learning revolution,Richard Baraniuk,2006-02-23,2006-08-21,TED2006,1100,1158184,34000
21,Meet the founder of the blog revolution,Mena Trott,2006-02-23,2006-08-25,TED2006,992,590681,17000
87,Nerdcore comedy,Ze Frank,2004-02-24,2006-08-25,TED2004,1123,7384634,221000
16,"Why we love, why we cheat",Helen Fisher,2006-02-24,2006-09-06,TED2006,1394,12217957,366000
64,Happiness in body and soul,Eve Ensler,2004-02-04,2006-09-06,TED2004,1212,1409718,42000
98,Why the universe seems so strange,Richard Dawkins,2005-07-07,2006-09-12,TEDGlobal 2005,1302,4215390,126000
47,Chemical scum that dream of distant quasars,David Deutsch,2005-07-14,2006-09-12,TEDGlobal 2005,1126,2701742,81000
20,"Choice, happiness and spaghetti sauce",Malcolm Gladwell,2004-02-26,2006-09-19,TED2004,1036,9359453,280000
29,The freakonomics of crack dealing,Steven Levitt,2004-02-27,2006-09-19,TED2004,1261,4259724,127000
97,The surprising science of happiness,Dan Gilbert,2004-02-02,2006-09-26,TED2004,1251,20211408,606000
93,The paradox of choice,Barry Schwartz,2005-07-15,2006-09-26,TEDGlobal 2005,1163,17208557,516000
12,Meet the future of cancer research,Eva Vertes,2005-02-26,2006-10-02,TED2005,1115,1181086,35000
39,A roadmap to end aging,Aubrey de Grey,2005-07-14,2006-10-02,TEDGlobal 2005,1354,4657530,139000
91,Invest in Africa's own solutions,Jacqueline Novogratz,2005-07-01,2006-10-10,TEDGlobal 2005,758,1135203,34000
79,How mobile phones can fight poverty,Iqbal Quadir,2005-07-13,2006-10-10,TEDGlobal 2005,938,632027,18000
75,Why we should invest in a free press,Sasa Vucinic,2005-07-14,2006-10-18,TEDGlobal 2005,1066,690515,20000
3,How to rebuild a broken state,Ashraf Ghani,2005-07-12,2006-10-18,TEDGlobal 2005,1105,1100864,33000
89,Why did I ski to the North Pole?,Ben Saunders,2005-02-24,2006-10-25,TED2005,1069,1020106,30000
4,The real future of space exploration,Burt Rutan,2006-02-24,2006-10-25,TED2006,1157,2563767,76000
56,My wish: Manufactured landscapes and green education,Edward Burtynsky,2005-02-17,2006-10-31,TED2005,2051,1421267,42000
59,My wish: Three actions for Africa,Bono,2005-02-24,2006-10-31,TED2005,1658,861449,25000
57,My wish: Three unusual medical inventions,Robert Fischell,2005-02-24,2006-10-31,TED2005,1596,550580,16000
67,How juries are fooled by statistics,Peter Donnelly,2005-07-14,2006-11-08,TEDGlobal 2005,1266,1378197,41000
22,Why people believe weird things,Michael Shermer,2006-02-23,2006-11-08,TED2006,791,8277475,248000
19,How technology evolves,Kevin Kelly,2005-02-24,2006-11-14,TED2005,1180,2266846,68000
38,The accelerating power of technology,Ray Kurzweil,2005-02-24,2006-11-14,TED2005,1362,3006253,90000
23,Fight injustice with raw video,Peter Gabriel,2006-02-23,2006-12-06,TED2006,832,1033387,31000
26,If I controlled the Internet,Rives,2006-11-30,2006-12-14,TEDSalon 2006,227,2366391,70000
70,8 secrets of success,Richard St. John,2005-02-23,2006-12-14,TED2005,196,16355988,490000
10,The killer American diet that's sweeping the planet,Dean Ornish,2006-02-23,2006-12-14,TED2006,184,2861413,85000
62,Global priorities bigger than climate change,Bjorn Lomborg,2005-02-02,2007-01-02,TED2005,987,1810668,54000
36,The hidden world of shadow cities,Robert Neuwirth,2005-07-14,2007-01-02,TEDGlobal 2005,830,924126,27000
34,Photos of endangered cultures,Phil Borges,2006-02-23,2007-01-09,TED2006,1100,1082844,32000
69,Dreams from endangered cultures,Wade Davis,2003-02-03,2007-01-09,TED2003,1307,4719950,141000
42,Is this our final century?,Martin Rees,2005-07-14,2007-01-17,TEDGlobal 2005,1032,3071168,92000
68,Progress is not a zero-sum game,Robert Wright,2006-02-02,2007-01-17,TED2006,1137,2033076,60000
63,The era of open innovation,Charles Leadbeater,2005-07-14,2007-01-31,TEDGlobal 2005,1121,1879746,56000
61,"How the ""ghost map"" helped end a killer disease",Steven Johnson,2006-11-30,2007-01-31,TEDSalon 2006,590,997443,29000
60,Four American characters,Anna Deavere Smith,2005-02-25,2007-02-09,TED2005,1371,1314509,39000
24,"A dance of ""Symbiosis""",Pilobolus,2005-02-25,2007-02-09,TED2005,811,4436076,133000
90,Unleash your creativity in a Fab Lab,Neil Gershenfeld,2006-02-02,2007-02-19,TED2006,1025,908689,27000
48,Everyday inventions,Saul Griffith,2006-02-23,2007-02-19,TED2006,856,601775,18000
73,In praise of slowness,Carl Honoré,2005-07-07,2007-02-28,TEDGlobal 2005,1140,3331257,99000
83,My wish: Build the Encyclopedia of Life,E.O. Wilson,2007-03-08,2007-04-03,TED2007,1324,1682974,50000
85,My wish: Rebuilding Rwanda,Bill Clinton,2007-03-08,2007-04-03,TED2007,1422,960769,28000
84,My wish: Let my photographs bear witness,James Nachtwey,2007-03-08,2007-04-03,TED2007,1291,1748600,52000
50,Happiness by design,Stefan Sagmeister,2004-02-02,2007-04-05,TED2004,916,2333488,70000
11,What separates us from chimpanzees?,Jane Goodall,2003-03-01,2007-04-05,TED2003,1630,2259890,67000
28,How to get your ideas to spread,Seth Godin,2003-02-27,2007-04-05,TED2003,1007,7255255,217000
32,"Art with wire, sugar, chocolate and string",Vik Muniz,2003-02-27,2007-04-05,TED2003,876,1470936,44000
76,The gentle genius of bonobos,Susan Savage-Rumbaugh,2004-02-02,2007-04-05,TED2004,1031,2961648,88000
40,The story of life in photographs,Frans Lanting,2005-02-02,2007-04-05,TED2005,963,2198558,65000
14,Software (as) art,Golan Levin,2004-02-27,2007-04-05,TED2004,879,677436,20000
31,How architecture can connect us,Thom Mayne,2005-02-25,2007-04-05,TED2005,1226,886043,26000
81,"Singing ""What I Want""",Nora York,2006-12-14,2007-04-05,TEDSalon 2006,256,454900,13000
80,The life code that will reshape the future,Juan Enriquez,2003-02-02,2007-04-05,TED2003,1326,854664,25000
78,Visual illusions that show how we (mis)think,Al Seckel,2004-02-26,2007-04-05,TED2004,859,2632421,78000
77,The shrimp with a kick!,Sheila Patek,2004-02-25,2007-04-05,TED2004,971,1814042,54000
9,To invent is to give,Dean Kamen,2002-02-02,2007-04-05,TED2002,1193,826203,24000
74,The route to a sustainable future,Alex Steffen,2005-07-07,2007-04-05,TEDGlobal 2005,1034,1837244,55000
5,Great cars are great art,Chris Bangle,2002-02-02,2007-04-05,TED2002,1184,1020567,30000
6,Sampling the ocean's DNA,Craig Venter,2005-02-24,2007-04-05,TEDGlobal 2005,992,661795,19000
43,Design is in the details,Paul Bennett,2005-07-14,2007-04-05,TEDGlobal 2005,834,1005228,30000
44,A philosophical quest for our biggest problems,Nick Bostrom,2005-07-14,2007-04-05,TEDGlobal 2005,998,1029842,30000
18,Biomimicry's surprising lessons from nature's engineers,Janine Benyus,2005-02-24,2007-04-05,TED2005,1379,2522886,75000
35,How we discovered DNA,James Watson,2005-02-02,2007-04-05,TED2005,1197,2064268,61000
99,"Global warming's theme song, ""Manhattan in January""",Jill Sobule,2006-02-26,2007-04-06,TED2006,142,732545,21000
102,The illusion of consciousness,Dan Dennett,2003-02-27,2007-04-06,TED2003,1294,4474847,134000
103,How to truly listen,Evelyn Glennie,2003-02-02,2007-04-06,TED2003,1915,6598727,197000
104,Cradle to cradle design,William McDonough,2005-02-02,2007-04-06,TED2005,1185,2025691,60000
101,Casting a spell on the cello,Caroline Lavelle,2005-02-02,2007-04-06,TED2005,445,503466,15000
105,The electricity metaphor for the web's future,Jeff Bezos,2003-02-02,2007-04-09,TED2003,1016,2291611,68000
108,A mockingbird remix of TED2006,Rives,2006-02-02,2007-04-09,TED2006,237,837976,25000
110,"""Kiteflyer's Hill""",Eddi Reader,2003-02-02,2007-04-14,TED2003,364,597408,17000
109,"""What You've Got""",Eddi Reader,2003-02-02,2007-04-14,TED2003,299,582364,17000
112,Why would God create a tsunami?,Tom Honey,2005-02-02,2007-04-16,TED2005,1159,707508,21000
113,Militant atheism,Richard Dawkins,2002-02-02,2007-04-16,TED2002,1736,6615677,198000
114,A comic sendup of TED2006,Tom Rielly,2006-02-02,2007-04-16,TED2006,1181,702838,21000
115,"""La Vie en Rose""",Rachelle Garniez,2004-02-02,2007-04-16,TED2004,187,489771,14000
72,Technology's long tail,Chris Anderson,2004-02-02,2007-04-27,TED2004,844,1100846,33000
117,Cape Breton fiddling in reel time,Natalie MacMaster,2002-02-02,2007-05-01,TED2002,297,856830,25000
118,The genesis of Google,Sergey Brin + Larry Page,2004-02-02,2007-05-03,TED2004,1219,1945221,58000
119,"""Black Men Ski""",Stew,2006-03-03,2007-05-07,TED2006,263,720744,21000
121,The ghastly tragedy of the suburbs,James Howard Kunstler,2004-02-02,2007-05-12,TED2004,1171,2247799,67000
122,Human-centered design,David Kelley,2002-02-02,2007-05-15,TED2002,1007,1184748,35000
123,What squatter cities can teach us,Stewart Brand,2006-02-02,2007-05-17,TED2006,171,1176446,35000
125,How brain science will change computing,Jeff Hawkins,2003-02-02,2007-05-21,TED2003,1198,1751261,52000
126,Swim with the giant sunfish,Tierney Thys,2003-02-02,2007-05-21,TED2003,988,1482994,44000
129,How PhotoSynth can connect the world's images,Blaise Agüera y Arcas,2007-03-03,2007-05-27,TED2007,436,6038629,181000
128,Salvation (and profit) in greentech,John Doerr,2007-03-03,2007-05-27,TED2007,1052,1198535,35000
127,Want to help Africa? Do business here,Ngozi Okonjo-Iweala,2007-03-03,2007-05-30,TED2007,1193,1547895,46000
131,Rethink the desktop with BumpTop,Anand Agarawala,2007-03-03,2007-06-05,TED2007,265,1717779,51000
130,We can be Buddhas,Robert Thurman,2006-12-01,2007-06-06,TEDSalon 2006,712,2337750,70000
8,A memorial at Ground Zero,David Rockwell,2002-02-02,2007-06-12,TED2002,1462,465762,13000
33,Let's rethink America's military strategy,Thomas Barnett,2005-02-02,2007-06-14,TED2005,1408,1414384,42000
138,"A string quartet plays ""Blue Room""",Ethel,2006-02-02,2007-06-18,TED2006,200,437053,13000
139,Tour Microsoft's Virtual Earth,Stephen Lawler,2007-03-03,2007-06-20,TED2007,356,351168,10000
140,New insights on poverty,Hans Rosling,2007-03-03,2007-06-25,TED2007,1123,3939268,118000
141,Inside the world's deepest caves,Bill Stone,2007-03-03,2007-06-27,TED2007,1049,2249518,67000
116,Dangerous memes,Dan Dennett,2002-02-02,2007-07-02,TED2002,913,2076049,62000
142,The potential of regenerative medicine,Alan Russell,2006-02-02,2007-07-04,TED2006,1151,1854480,55000
